brand,store,mape,train_days,test_days
1233.0,50.0,148.33,27,9
3405.0,76.0,270.88,39,13
3405.0,34.0,282.14,30,10
8068.0,50.0,248.12,36,12
3545.0,34.0,254.83,30,10
3405.0,66.0,173.37,39,13
3545.0,76.0,78.42,39,14
3405.0,38.0,77.99,39,14
4261.0,34.0,101.9,30,11
3405.0,73.0,264.77,38,13
8068.0,34.0,226.38,33,12
3545.0,73.0,126.12,39,13
1233.0,76.0,95.72,39,14
8068.0,76.0,182.97,38,13
3545.0,50.0,194.48,30,10
1233.0,69.0,113.33,32,11
1233.0,73.0,188.17,38,13
3858.0,50.0,359.49,27,9
1233.0,34.0,259.58,27,10
3405.0,50.0,84.27,29,10
2589.0,50.0,84.25,30,10
8068.0,73.0,111.18,39,13
3102.0,73.0,779.21,31,11
1233.0,48.0,154.32,27,10
4689.0,50.0,54.86,28,10
1233.0,60.0,55.43,35,12
1233.0,74.0,293.5,36,12
3102.0,34.0,196.36,27,9
4261.0,76.0,57.95,37,13
1233.0,15.0,339.36,36,12
3489.0,76.0,210.37,36,12
3858.0,74.0,642.25,24,9
3858.0,27.0,999.0,23,8
782.0,50.0,315.8,27,10
3545.0,38.0,36.27,39,13
2589.0,61.0,75.35,25,9
4261.0,50.0,354.47,29,10
2753.0,34.0,264.95,24,9
3545.0,66.0,192.37,34,12
3405.0,41.0,122.81,37,13
3489.0,73.0,262.83,36,12
8068.0,38.0,141.78,40,14
3102.0,76.0,353.53,34,12
3405.0,68.0,234.63,35,12
3405.0,67.0,112.33,36,13
2757.0,50.0,627.22,30,10
1233.0,61.0,146.78,36,13
8068.0,69.0,160.57,32,11
3858.0,55.0,299.91,28,10
8068.0,74.0,91.44,34,12
1233.0,2.0,235.46,36,12
3858.0,15.0,999.0,24,9
3102.0,50.0,133.97,30,11
2589.0,74.0,54.99,27,10
1233.0,38.0,131.64,36,13
4689.0,34.0,230.87,30,11
6654.0,76.0,60.22,33,11
1233.0,55.0,320.39,30,10
1233.0,10.0,164.67,33,11
2589.0,76.0,93.97,35,12
3348.0,76.0,319.66,38,13
3545.0,69.0,138.18,31,11
3545.0,67.0,185.13,37,13
3405.0,60.0,125.09,33,12
8068.0,60.0,33.97,38,13
4261.0,73.0,55.71,35,12
8068.0,15.0,110.38,34,12
6570.0,76.0,173.31,39,13
1233.0,66.0,148.82,34,12
2589.0,33.0,306.41,30,11
3858.0,76.0,203.72,33,11
4261.0,66.0,59.8,38,13
3405.0,69.0,115.38,33,11
2589.0,73.0,61.58,31,11
4261.0,41.0,55.81,39,14
4261.0,10.0,56.15,38,13
8068.0,48.0,999.0,30,11
8068.0,41.0,295.27,39,14
2589.0,55.0,235.09,30,11
4261.0,38.0,60.46,39,13
4261.0,60.0,52.31,33,12
2589.0,34.0,250.92,23,8
3348.0,73.0,999.0,37,13
3545.0,60.0,61.35,37,13
4261.0,74.0,61.57,35,12
3489.0,60.0,64.99,39,13
2889.0,34.0,46.31,36,13
126.0,50.0,72.67,29,10
8068.0,61.0,637.29,38,13
3489.0,38.0,121.62,38,13
8082.0,50.0,87.52,26,9
2663.0,50.0,999.0,25,9
3405.0,55.0,113.02,37,13
126.0,15.0,999.0,29,10
3545.0,2.0,176.61,35,12
3405.0,74.0,135.88,37,13
2663.0,76.0,999.0,35,12
3545.0,74.0,46.11,30,10
1233.0,27.0,260.28,36,12
3489.0,50.0,293.6,35,12
2585.0,50.0,358.59,29,10
6654.0,73.0,91.12,33,11
4261.0,14.0,56.07,37,13
3858.0,59.0,164.61,29,10
8068.0,66.0,153.96,36,12
3405.0,49.0,44.49,39,13
1376.0,76.0,63.96,36,12
3650.0,34.0,138.88,30,11
